worker_id,floor,weeks,shortfalls_without,shortfalls_with,avg_buffer_balance,max_buffer_balance
74,3189.7023301282056,156,25,18,1223.7668081501831,7215.1285
75,3466.802801282052,156,18,10,1110.0904310897436,7213.466000000001
76,4822.793285256411,156,11,10,1462.0113199786326,9666.7325
77,2524.597625,156,24,14,930.4012254273504,4580.6255
78,2318.0481923076927,156,25,20,863.3371874999999,4105.835999999999
79,3917.884913461539,156,11,7,1061.2862692307692,6116.1632500000005
80,3440.1415160256415,156,22,14,960.5039739926739,5597.94825
81,4358.108756410257,156,22,15,1914.4003314102563,10393.056
82,4642.028416666667,156,17,8,1277.2561927350428,6179.7564999999995
83,5218.589891025641,156,25,11,1715.3587348290596,11768.229
84,2876.7998557692313,156,25,18,1393.9404567307693,5764.851749999999
85,2726.773746794872,156,24,12,1155.0997051282052,7050.223
86,2546.859650641026,156,25,19,845.4119983974358,4198.8550000000005
87,4347.715766025642,156,10,8,1422.138169337607,9104.768
88,5289.428657051283,156,18,14,1859.2460567765565,11986.773999999998
89,3737.3886987179485,156,29,19,1449.268394551282,9239.04175
90,4853.939291666667,156,14,9,1192.4031399572648,9084.211499999998
91,3808.665631410257,156,12,10,1279.8658973748475,7992.107750000001
92,2723.482067307693,156,24,17,868.6126249999999,4170.909250000001
93,4499.252753205128,156,15,9,1197.218811401099,6784.682999999999
94,5159.328272435898,156,13,9,1857.4289528388279,8128.3215
95,3506.0913814102564,156,22,17,1156.9691531593407,8073.420249999999
96,2248.521211538462,156,29,19,964.8580020604396,5317.285
97,5385.279871794873,156,16,10,2163.8781245115993,10532.361250000002
98,2435.772836538462,156,22,14,836.2476755189252,5919.649499999999
99,2154.94255448718,156,17,12,849.5900528846155,4249.551
100,6009.998394230769,156,17,14,1825.4978240384617,7805.451750000002
101,4286.053820512821,156,18,12,1656.4973327991452,9153.547750000002
102,2242.126685897436,156,21,15,602.9185271672771,3001.4915
103,3272.624737179487,156,21,15,1170.722229441392,5958.347250000001
104,3583.4181378205135,156,26,19,1092.525714819902,6408.788523809524
105,5822.042416666667,156,21,16,2333.8357693070816,14357.101750000002
106,2470.891358974359,156,21,13,922.6104134615385,5429.23275
107,3253.841990384615,156,25,17,997.3305144230771,4144.2789999999995
108,5423.187423076924,156,15,8,1606.9296928418805,9569.98325
109,2726.633320512821,156,28,18,879.386311431624,4775.326500000001
110,3788.8982788461544,156,20,11,1170.2819848901102,6694.146500000001
111,5629.425189102564,156,14,10,2905.5847311507937,11278.913238095236
112,4503.855583333333,156,11,7,1243.7034991452992,6107.898749999999
113,4315.801875,156,17,11,1447.0532548076926,8622.522500000001
114,5856.8625288461535,156,14,9,1890.5258313339436,11374.969
115,3366.37801923077,156,16,12,1262.6912164224666,6594.798500000001
116,2636.4194294871795,156,25,14,1200.2816206501827,6400.806999999999
117,5150.165237179487,156,16,9,1753.4560354700855,9950.077
118,4931.376612179488,156,17,11,2104.359044871795,12620.273499999998
119,4649.937310897437,156,10,6,1169.0683893162393,8479.356749999999
120,2398.30108974359,156,29,17,886.1707149725273,4486.812
121,4516.5096378205135,156,16,12,1338.3646369810745,7638.9890000000005
122,2185.499391025641,156,23,13,627.9046618589744,4490.137500000001
123,4945.879935897437,156,20,15,1776.4252244352865,10876.6835
124,3913.046217948718,156,11,7,1175.1361101190478,6673.516
125,4810.426288461539,156,24,12,1856.0347051282058,10479.154
126,2196.7967083333333,156,25,16,824.7704038461537,5316.112999999999
127,2256.998685897436,156,20,11,762.8936538461538,4662.509999999999
128,2904.6356730769235,156,21,15,806.5495989010989,3312.362
129,3852.111471153847,156,31,20,1330.3804449786326,8586.725499999999
130,5300.362480769232,156,13,6,1623.0949540598292,11617.391249999999
131,3520.7231089743595,156,22,13,1062.891629120879,6689.827
132,3545.906551282051,156,19,12,1302.7538083333332,8733.2835
133,3582.266451923077,156,25,19,1198.72818258547,9011.464999999998
134,5159.011810897436,156,21,15,2150.9680940934068,8546.996499999997
135,4377.713048076923,156,23,16,1846.0085,9902.1695
136,4571.717227564102,156,17,9,1582.6727692307693,8036.7775
137,2269.0989679487184,156,24,14,641.0268116605619,2922.8005000000003
138,5630.196846153847,156,12,8,1852.9821900641027,10369.753
139,5053.738108974359,156,17,11,1576.6153381410254,6928.091999999999
140,2449.1731282051287,156,21,16,945.9539855006107,4079.42425
141,4829.206426282051,156,16,13,1820.830535409035,10773.50130952381
142,4400.578945512821,156,8,5,1312.9191900641024,7234.78325
143,3114.8295608974363,156,25,15,1274.029386858974,10406.505999999998
144,6060.3703557692315,156,14,8,1931.838395299146,14714.825500000003
145,4498.626669871795,156,15,10,1480.361366880342,8479.559
146,5389.627727564103,156,17,10,1773.6712067307694,12330.704750000003
147,3044.7767660256413,156,24,20,779.3136256105005,5284.83475
148,3090.0856250000006,156,23,15,1233.4184729395604,6633.252250000001
149,4337.253849358974,156,19,12,1716.0386506410257,10409.78625
150,4899.774070512821,156,14,10,1546.1613282967035,9291.2805
151,2790.5739583333334,156,22,14,928.7056868589742,4188.3955
152,5201.126509615385,156,18,12,1701.5038775946275,9537.124
153,5806.611602564103,156,18,15,1987.8059903846147,11265.75025
154,5464.153785256411,156,18,10,1580.2581559065934,12648.1895
155,5098.2164326923075,156,6,5,1418.096075854701,6704.906
156,2153.5080769230767,156,23,16,698.8001847527473,4401.146000000001
157,3606.8549070512827,156,20,10,1037.0019537545793,6009.5225
158,4742.097778846154,156,18,12,1420.5029070512821,7907.570499999998
159,4281.916516025642,156,14,11,1443.2440419871796,10866.228000000001
160,4703.783932692309,156,19,13,2323.492988782052,8531.6155
161,5318.57435576923,156,14,9,1769.2659861111113,8515.89925
162,5909.030980769232,156,14,12,1926.112949404762,11322.252
163,3853.623618589744,156,12,9,1447.7328926282055,7737.2535
164,4623.572990384616,156,16,11,1588.1114211538463,7588.867000000001
165,5529.725102564103,156,15,8,1598.8767339743592,6643.4335
166,5666.887169871796,156,17,11,2314.0740534188035,14346.914249999998
167,3408.032022435898,156,18,14,1288.3157884615384,6225.168
168,3637.1767596153845,156,18,9,895.8419919871794,5905.6259999999975
169,5268.915807692308,156,15,11,1717.1887737179488,9266.346
170,3975.0182083333334,156,16,10,1202.7145028235652,9717.998500000003
171,5327.223669871795,156,14,10,1935.285777854091,12086.4655
172,5893.202721153847,156,17,14,1896.1280060286936,9136.05
173,5774.341375,156,15,9,2057.655125457876,10279.707000000002
174,4979.654907051283,156,17,8,1734.62428992674,13145.8195
175,3524.7753750000006,156,28,18,953.2835985958484,5053.8645
176,2861.6676634615387,156,32,20,1213.580540140415,7530.12775
177,4478.253400641027,156,14,7,1229.7638175366303,8676.9735
178,3652.742923076924,156,23,14,1410.9268856837607,7914.3589999999995
179,2423.180057692308,156,23,14,851.712894047619,4548.5615
180,4759.439278846155,156,13,9,1545.033951800977,7151.748
181,5277.536669871796,156,15,11,2000.9424033119658,7992.890000000001
182,4118.799490384615,156,14,11,1279.4163107448107,7328.6587500000005
183,4988.498660256411,156,17,12,1546.55925,9342.0435
184,4474.757375,156,24,14,1386.9789855769232,7760.4365
185,4221.280743589744,156,14,9,1214.422033562271,8091.075000000001
186,3628.504282051282,156,21,16,1257.2750890567763,8636.9255
187,3387.831580128205,156,23,17,1345.3899444444444,7453.955499999999
188,4736.013544871794,156,21,14,1989.759536111111,9627.291000000001
189,3107.2090641025643,156,21,12,1154.5700822649574,5632.074
190,2485.696900641026,156,31,20,717.5300427350427,4923.887749999999
191,5014.38448076923,156,15,12,1903.487011675824,13782.819499999998
192,3600.1793173076926,156,22,13,1270.7060025641026,6292.92375
193,5139.871669871795,156,16,11,1801.9099922161172,8949.293
194,5553.519689102564,156,18,12,2020.4315379273507,10877.326750000006
195,3950.3647403846153,156,17,8,1032.2593592796093,5787.46
196,4295.624842948718,156,12,8,1555.2429619963368,7784.348999999999
197,4190.934211538462,156,17,10,1520.0281799450552,8251.195
198,5178.9586538461535,156,13,7,1202.0319663461541,7878.6182499999995
199,4067.483785256411,156,18,12,1754.37015224359,8344.327500000001
200,3993.446733974359,156,15,11,1423.2674615384615,7285.35375
